,A.csv,AA.csv,B.csv,BB.csv,C.csv,CC.csv,D.csv,DD.csv,E.csv,EE.csv,F.csv,FF.csv,G.csv,GG.csv,H.csv,HH.csv,I.csv,II.csv,J.csv,JJ.csv,K.csv,KK.csv,L.csv,LL.csv,M.csv,MM.csv,N.csv,NN.csv,O.csv,OO.csv,P.csv,PP.csv,Q.csv,QQ.csv,R.csv,RR.csv,S.csv,SS.csv,T.csv,TT.csv,U.csv,UU.csv,V.csv,W.csv,X.csv,Y.csv,Z.csv
AirFlow,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Air_Flow_Diff,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
AirflowSpRht,❌,❌,❌,✅,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
ClgPct,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Cooling_Stg_Cmd,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
DmprPos,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
DschAirTemp,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
EffAirflowSp,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
EffOcc,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
EffSp,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Heating_Stg_Cmd,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
HtgPct,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
OccClgSp,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
OccCmd,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
OccHtgSp,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RmCo2,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅,❌,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,✅,✅
